x-axis,y-axis,precipitation,air_temp,ocean_temp,ice_velocity
-486400,851200,69.6414413452,240.216171265,271.74029541,1.69591081142
-364800,851200,62.8343009949,238.269622803,271.836090088,2.72219347954
-243200,851200,60.5096168518,233.893463135,271.977203369,0.792582333088
-121600,851200,47.6763000488,229.964035034,272.052856445,3.17477726936
0,851200,44.2859954834,229.107498169,272.099578857,39.6502876282
121600,851200,32.1394691467,225.678848267,271.998596191,13.678355217
243200,851200,28.8920497894,225.470977783,272.322052002,13.0336341858
364800,851200,29.6491222382,225.982421875,272.32119751,19.2136878967
486400,851200,29.448261261,222.744552612,272.386779785,9.31269073486
608000,851200,27.9033145905,219.058547974,272.443115234,3.59669566154
729600,851200,22.6176433563,216.644058228,272.490905762,2.11353182793
851200,851200,19.2716598511,214.781936646,272.531005859,0.378725349903
972800,851200,23.4006252289,215.83152771,272.56628418,4.96761131287
1094400,851200,30.3800735474,219.586883545,272.593261719,10.2419404984
1216000,851200,44.4212875366,224.09815979,272.609619141,13.6815805435
1337600,851200,64.4488449097,229.240478516,272.599853516,20.3354454041
1459200,851200,85.938583374,234.098358154,272.562408447,4.85533285141
1580800,851200,87.4332351685,237.949966431,272.570373535,0.00524104107171
1702400,851200,83.1103210449,240.962783813,272.373474121,0.599229633808
1824000,851200,109.731117249,242.45664978,272.25088501,2.5688726902
1945600,851200,140.114044189,245.111633301,272.202819824,0.011081376113
2067200,851200,378.887512207,246.978927612,272.070373535,18.4320716858
2188800,851200,542.413208008,249.484481812,272.324279785,6.14838790894
-2188800,729600,2011.93029785,262.7215271,272.779205322,2128.74291992
-2067200,729600,609.101013184,257.380187988,272.273498535,0.024918390438
-1945600,729600,504.821777344,255.49621582,272.006744385,0.36320155859
-1824000,729600,412.617858887,255.986877441,271.783447266,177.141571045
-1702400,729600,1046.64538574,254.895202637,271.604278564,345.20324707
-1580800,729600,181.8256073,246.131973267,271.518249512,2.44435548782
-1459200,729600,177.267471313,247.886566162,271.438323975,0.0850851237774
-1337600,729600,158.293533325,246.569992065,271.417633057,1105.46240234
-1216000,729600,174.044830322,245.516860962,271.3699646,1041.78735352
-1094400,729600,186.326980591,244.283477783,271.377105713,520.147216797
-972800,729600,161.077804565,243.292160034,271.426055908,316.616027832
-851200,729600,148.956985474,245.10168457,271.34954834,12.0598077774
-729600,729600,108.91444397,241.29675293,271.60836792,30.2376422882
-608000,729600,95.0009384155,244.450286865,271.531860352,2.6877052784
-486400,729600,102.528305054,240.070632935,271.786437988,6.58721494675
-364800,729600,75.1160888672,235.264450073,271.866210938,1.64624726772
-243200,729600,77.0689620972,232.917419434,271.945373535,1.56537485123
-121600,729600,63.4908103943,230.392318726,272.016296387,4.90786886215
0,729600,42.3205986023,227.213653564,272.129943848,3.9946436882
121600,729600,33.6447982788,223.823486328,272.080505371,5.81258964539
243200,729600,33.1324615479,224.017120361,272.000549316,7.22316980362
364800,729600,38.5491943359,225.264266968,272.259124756,23.8431777954
486400,729600,37.4986190796,223.652923584,272.321105957,15.0185699463
608000,729600,28.4403762817,219.219741821,272.37689209,4.59997320175
729600,729600,21.3190021515,216.644378662,272.426025391,2.12672519684
851200,729600,20.2070884705,214.272857666,272.469665527,1.21368408203
972800,729600,24.9026641846,216.70085144,272.511535645,7.38846445084
1094400,729600,38.1455001831,221.428894043,272.549591064,23.1404647827
1216000,729600,58.3625869751,225.526123047,272.601470947,40.1387443542
1337600,729600,82.0039749146,230.938980103,272.498565674,4.56698274612
1459200,729600,87.4299316406,236.493133545,272.605499268,0.844019412994
1580800,729600,60.8267593384,240.729888916,272.798278809,3.51923084259
1702400,729600,35.111038208,242.773101807,272.622741699,1152.15869141
1824000,729600,57.5397109985,246.708084106,272.430358887,581.398803711
1945600,729600,110.389465332,246.857406616,272.219421387,460.567199707
2067200,729600,254.268615723,247.492202759,272.150634766,877.464355469
2188800,729600,429.271636963,250.595932007,272.295837402,1238.07824707
-1945600,608000,788.583984375,257.42199707,272.200805664,0.617312788963
