x-axis,y-axis,precipitation,precip_1,precip_2,precip_3,precip_4,precip_5,precip_6,precip_7,precip_8
1216000,2796800,606.401306152,591.276428223,634.268432617,685.929931641,652.124816895,628.481201172,590.070068359,577.186340332,579.824707031
1337600,2796800,652.124816895,634.268432617,685.929931641,731.706542969,713.031860352,688.666748047,628.481201172,590.070068359,606.401306152
1459200,2796800,713.031860352,685.929931641,731.706542969,753.117736816,744.032409668,731.652099609,688.666748047,628.481201172,652.124816895
1580800,2796800,744.032409668,731.706542969,753.117736816,772.596984863,763.607421875,761.375732422,731.652099609,688.666748047,713.031860352
1702400,2796800,763.607421875,753.117736816,772.596984863,791.596313477,784.834838867,792.599609375,761.375732422,731.652099609,744.032409668
1824000,2796800,784.834838867,772.596984863,791.596313477,808.398986816,806.818603516,826.294799805,792.599609375,761.375732422,763.607421875
1945600,2796800,806.818603516,791.596313477,808.398986816,824.302490234,827.688964844,856.536865234,826.294799805,792.599609375,784.834838867
2067200,2796800,827.688964844,808.398986816,824.302490234,844.045715332,836.240661621,862.832641602,856.536865234,826.294799805,806.818603516
2188800,2796800,836.240661621,824.302490234,844.045715332,884.820495605,860.995300293,872.33605957,862.832641602,856.536865234,827.688964844
2310400,2796800,860.995300293,844.045715332,884.820495605,932.677856445,917.663391113,919.353881836,872.33605957,862.832641602,836.240661621
2432000,2796800,917.663391113,884.820495605,932.677856445,948.428710938,956.715942383,966.749450684,919.353881836,872.33605957,860.995300293
2553600,2796800,956.715942383,932.677856445,948.428710938,925.073242188,955.321899414,975.710083008,966.749450684,919.353881836,917.663391113
2675200,2796800,955.321899414,948.428710938,925.073242188,892.065246582,924.059814453,942.481018066,975.710083008,966.749450684,956.715942383
2796800,2796800,924.059814453,925.073242188,892.065246582,847.025512695,868.924316406,884.145507812,942.481018066,975.710083008,955.321899414
2918400,2796800,868.924316406,892.065246582,847.025512695,793.044921875,810.530822754,826.002380371,884.145507812,942.481018066,924.059814453
3040000,2796800,810.530822754,847.025512695,793.044921875,,,,826.002380371,884.145507812,868.924316406
-3040000,2675200,682.87487793,,691.089599609,701.741882324,681.442321777,668.569030762,672.666320801,,
-2918400,2675200,681.442321777,691.089599609,701.741882324,697.206237793,673.603393555,664.736633301,668.569030762,672.666320801,682.87487793
-2796800,2675200,673.603393555,701.741882324,697.206237793,690.97454834,670.077331543,672.077453613,664.736633301,668.569030762,681.442321777
-2675200,2675200,670.077331543,697.206237793,690.97454834,680.096618652,669.465209961,672.957946777,672.077453613,664.736633301,673.603393555
-2553600,2675200,669.465209961,690.97454834,680.096618652,639.002624512,646.627868652,664.634338379,672.957946777,672.077453613,670.077331543
-2432000,2675200,646.627868652,680.096618652,639.002624512,585.124816895,601.879150391,639.090759277,664.634338379,672.957946777,669.465209961
-2310400,2675200,601.879150391,639.002624512,585.124816895,548.642150879,575.01159668,623.749755859,639.090759277,664.634338379,646.627868652
