x-axis,y-axis,ice_thickness,precipitation,air_temp,ocean_temp,dist,temp_diff,air_roll,ocean_roll,precip_roll
1216000,2796800,0.0,606.401306152,266.918121338,273.79006958,3049712.4848090187,6.87194824200003,266.93865627711114,273.7398817272222,616.1736924913334
1337600,2796800,0.0,652.124816895,267.288726807,273.895843506,3100203.8642644132,6.6071166990000165,267.321211073,273.8628641764444,658.964545356
1459200,2796800,0.0,713.031860352,267.751342773,273.946350098,3154576.8147249166,6.195007325000006,267.7745259602222,273.93896145288886,703.193705241
1580800,2796800,0.0,744.032409668,268.299133301,273.979797363,3212634.258673091,5.680664062000005,268.2702670626666,1.1076899964877779e+36,739.976392957889
1702400,2796800,0.0,763.607421875,268.781738281,274.032958984,3274180.2027377784,5.251220703000001,268.78942532,3.323069989463334e+36,766.1570163302222
1824000,2796800,0.0,784.834838867,269.286224365,9.969209968390001e+36,3339021.7489558225,9.969209968390001e+36,269.31165907111114,5.538449982438889e+36,789.7914767795556
1945600,2796800,0.0,806.818603516,269.82901001,9.969209968390001e+36,3406970.736592846,9.969209968390001e+36,269.86208089188887,7.753829975414446e+36,813.2301635742223
2067200,2796800,0.0,827.688964844,270.412750244,9.969209968390001e+36,3477845.0339254625,9.969209968390001e+36,270.4498664008889,8.861519971902225e+36,832.5733032226667
2188800,2796800,0.0,836.240661621,271.054534912,9.969209968390001e+36,3551469.5099352887,9.969209968390001e+36,271.03063286677775,9.96920996839e+36,852.1999104816666
2310400,2796800,0.0,860.995300293,271.575866699,9.969209968390001e+36,3627676.7220908757,9.969209968390001e+36,271.55904473211115,9.96920996839e+36,881.2184448241111
2432000,2796800,0.0,917.663391113,271.982452393,9.969209968390001e+36,3706307.359083971,9.969209968390001e+36,271.983645969,9.96920996839e+36,917.7490098741112
2553600,2796800,0.0,956.715942383,272.289642334,9.969209968390001e+36,3787210.4773830567,9.969209968390001e+36,272.3118489584444,9.96920996839e+36,944.1882731121111
2675200,2796800,0.0,955.321899414,272.517028809,9.969209968390001e+36,3870243.5685625784,9.969209968390001e+36,272.55145602755556,9.96920996839e+36,942.956156412889
2796800,2796800,0.0,924.059814453,272.659698486,9.969209968390001e+36,3955272.4912450723,9.969209968390001e+36,272.6986558703333,9.96920996839e+36,912.7562934026666
2918400,2796800,0.0,868.924316406,272.692108154,9.969209968390001e+36,4042171.2977062217,9.969209968390001e+36,272.7320081923333,9.96920996839e+36,865.364393446
