x-axis,y-axis,ice_velocity,precipitation,air_temp,ocean_temp,dist,temp_diff,air_roll,ocean_roll,precip_roll
2432000,2918400,,932.677856445,271.761810303,9.969209968390001e+36,3798905.4423609967,9.969209968390001e+36,271.88876255582863,9.684375397864573e+36,904.0149466378
2553600,2918400,,948.428710938,272.052429199,9.969209968390001e+36,3877877.1924856002,9.969209968390001e+36,272.23878522605713,9.969209968390001e+36,906.8257812499144
2675200,2918400,,925.073242188,272.267425537,9.969209968390001e+36,3959009.1689714487,9.969209968390001e+36,273.0013872419143,9.969209968390001e+36,901.0110194614001
2796800,2918400,,892.065246582,272.396881104,9.969209968390001e+36,4042171.2977062217,9.969209968390001e+36,273.2297617594666,9.969209968390002e+36,904.1251932779334
2918400,2918400,,847.025512695,272.417785645,9.969209968390001e+36,4127240.8604296404,9.969209968390001e+36,273.46077270508,9.969209968390001e+36,899.8169580077601
3040000,2918400,,793.044921875,272.303649902,9.969209968390001e+36,4214102.343322952,9.969209968390001e+36,273.7217727661499,9.969209968390001e+36,886.0423675536001
-3040000,2796800,,691.089599609,274.610137939,9.969209968390001e+36,4130821.9811558085,9.969209968390001e+36,274.91631062824996,9.969209968390001e+36,685.9775950114584
-2918400,2796800,,701.741882324,274.258148193,9.969209968390001e+36,4042171.2977062217,9.969209968390001e+36,274.48301798503337,9.969209968390002e+36,684.0729207357001
-2796800,2796800,,697.206237793,273.827545166,9.969209968390001e+36,3955272.4912450723,9.969209968390001e+36,274.1041615803889,9.96920996839e+36,679.0423278809167
-2675200,2796800,,690.97454834,273.185760498,9.969209968390001e+36,3870243.5685625784,9.969209968390001e+36,273.76581900459524,9.969209968389999e+36,670.3806646438571
-2553600,2796800,,680.096618652,272.510375977,9.969209968390001e+36,3787210.4773830567,9.969209968390001e+36,272.8266434442381,9.731847826285476e+36,655.7443804060238
-2432000,2796800,,639.002624512,272.031219482,9.969209968390001e+36,3706307.359083971,9.969209968390001e+36,272.2520410446667,9.257123542076428e+36,639.2882690430239
-2310400,2796800,,585.124816895,271.723846436,9.969209968390001e+36,3627676.7220908757,9.969209968390001e+36,271.61233229861904,8.545037115762857e+36,623.2538423084525
-2188800,2796800,,548.642150879,271.340240479,9.969209968390001e+36,3551469.5099352887,9.969209968390001e+36,270.96591259183333,7.832950689449287e+36,607.631167457262
-2067200,2796800,,532.721374512,270.676025391,9.969209968390001e+36,3477845.0339254625,9.969209968390001e+36,270.32108706516664,6.883502121031192e+36,592.3176705497618
-1945600,2796800,,535.63659668,269.930419922,9.969209968390001e+36,3406970.736592846,9.969209968390001e+36,269.66129411969047,5.696691410508572e+36,580.1803850446906
-1824000,2796800,,544.703857422,269.183044434,9.969209968390001e+36,3339021.7489558225,9.969209968390001e+36,268.96935308545244,4.5098806999859526e+36,573.8217511858571
-1702400,2796800,,548.289489746,268.503387451,273.130645752,3274180.2027377784,4.62725830100004,268.2731592087381,3.323069989463334e+36,570.1304713658571
-1580800,2796800,,551.482055664,267.861877441,272.999053955,3212634.258673091,5.137176514000032,267.62463233580957,2.3736214210452383e+36,566.434454055119
-1459200,2796800,,570.650512695,267.178833008,272.894195557,3154576.8147249166,5.715362548999963,267.030357724119,1.6615349947316667e+36,561.1870742071666
-1337600,2796800,,562.595397949,266.602813721,272.824951172,3100203.8642644132,6.2221374509999805,266.4985780261667,9.494485684180953e+35,552.857712518619
-1216000,2796800,,552.481445312,266.115875244,272.779144287,3049712.4848090187,6.663269043000014,266.03489321757144,4.7472428420904766e+35,541.1714361281668
-1094400,2796800,,548.237548828,265.660217285,272.751861572,3003298.453367564,7.091644287000008,265.65161350797615,2.3736214210452383e+35,528.0527242025
-972800,2796800,,531.500854492,265.279693604,272.741546631,2961153.504970656,7.461853027000018,265.3626665388333,272.7733742849762,512.921968006
-851200,2796800,,503.270812988,265.018035889,272.7394104,2923462.276137662,7.721374511000022,265.155189150881,272.75791349861913,497.3743547712381
-729600,2796800,,492.418182373,264.884796143,272.757110596,2890399.0035979464,7.872314453000001,265.01112801690476,272.74274480907144,483.43424915135705
-608000,2796800,,477.838470459,264.834106445,272.771392822,2862124.078372564,7.937286377000021,264.9159625825714,272.72752162385717,471.9061017718096
-486400,2796800,,459.710388184,264.802490234,272.75100708,2838780.5832786723,7.948516846000018,264.8692365374048,272.7150566464047,464.0538330078572
-364800,2796800,,465.215118408,264.815002441,272.737915039,2820490.9643535465,7.922912597999982,264.86109415688094,272.70804123652385,460.48579988028575
